Variable,MIMIC,eICU,p
── Corto 3-12h ──,,,
N,"1,667","4,526",—
Edad (años),60.0 [48.0–70.0],65.0 [55.0–74.0],<0.001
Género masculino,995 (59.7%),"2,762 (61.0%)",0.349
Peso (kg),80.2 [67.3–97.0],84.8 [70.3–100.7],<0.001
SOFA máx,4.0 [2.0–6.0],6.0 [4.0–8.0],<0.001
Primera estancia UCI,"1,334 (80.0%)","3,973 (87.8%)",<0.001
Noradrenalina (positivos),172 (10.3%),496 (11.0%),0.500
Horas hasta norad *,6.0 [4.4–8.4],5.8 [4.2–8.1],0.371
── Medio 6-24h ──,,,
N,"3,282","5,580",—
Edad (años),62.0 [50.0–73.0],63.0 [51.0–74.0],<0.001
Género masculino,"1,971 (60.1%)","3,256 (58.4%)",0.123
Peso (kg),80.3 [67.3–96.0],83.0 [68.8–100.0],<0.001
SOFA máx,4.0 [2.0–6.0],6.0 [4.0–8.0],<0.001
Primera estancia UCI,"2,575 (78.5%)","4,771 (85.5%)",<0.001
Noradrenalina (positivos),338 (10.3%),561 (10.1%),0.740
Horas hasta norad *,10.9 [8.0–16.2],10.7 [8.0–15.4],0.537
── Largo 12-48h ──,,,
N,"4,088","6,555",—
Edad (años),62.0 [50.0–73.0],63.0 [52.0–74.0],<0.001
Género masculino,"2,444 (59.8%)","3,719 (56.7%)",0.002
Peso (kg),80.5 [67.3–97.2],83.1 [68.1–101.1],<0.001
SOFA máx,5.0 [3.0–7.0],6.0 [5.0–8.0],<0.001
Primera estancia UCI,"3,305 (80.8%)","5,511 (84.1%)",<0.001
Noradrenalina (positivos),456 (11.2%),564 (8.6%),<0.001
Horas hasta norad *,22.3 [16.2–31.3],20.2 [15.2–27.4],0.002
